변환,전년동기대비증감률,전년동기대비증감률,전년동기대비증감률,전년동기대비증감률
"2005/01","8.6","3.2","-3.0","-3.9"
"2005/02","2.8","1.4","-1.3","-2.3"
"2005/03","2.8","3.5","2.8","-0.5"
"2005/04","2.8","2.1","3.1","1.5"
"2005/05","0.0","2.3","3.8","3.4"
"2005/06","8.6","4.2","0.5","5.2"
"2005/07","0.0","4.9","2.6","7.3"
"2005/08","0.0","5.4","5.4","9.2"
"2005/09","8.1","4.6","1.7","10.9"
"2005/10","5.4","5.7","5.0","12.5"
"2005/11","-5.3","8.3","7.0","13.5"
"2005/12","-7.9","7.3","8.8","13.8"
"2006/01","-10.5","6.1","7.5","13.1"
"2006/02","-5.4","5.7","6.1","11.6"
"2006/03","-5.4","5.0","6.9","9.8"
"2006/04","-8.1","6.7","6.3","7.7"
"2006/05","-8.1","7.1","6.6","5.9"
"2006/06","-7.9","4.1","6.1","4.2"
"2006/07","-5.4","1.9","0.9","2.6"
"2006/08","-5.4","6.3","3.6","1.3"
"2006/09","-12.5","5.8","3.7","0.2"
"2006/10","-7.7","9.0","5.6","-0.8"
"2006/11","-2.8","5.4","3.0","-1.5"
"2006/12","-2.9","5.5","4.4","-1.9"
"2007/01","0.0","3.8","4.4","-1.9"
"2007/02","-11.4","7.5","7.9","-1.2"
"2007/03","-8.6","4.5","5.8","0.0"
"2007/04","-2.9","4.7","4.0","1.5"
"2007/05","-2.9","4.9","5.5","3.3"
"2007/06","-5.7","6.8","3.9","4.9"
"2007/07","-5.7","10.5","7.6","6.1"
"2007/08","-5.7","7.4","5.7","6.8"
"2007/09","-8.6","5.6","7.3","6.9"
"2007/10","-8.3","4.8","5.0","6.5"
"2007/11","-5.7","5.8","5.3","5.4"
"2007/12","-5.9","7.9","1.8","3.9"
"2008/01","-11.8","8.4","5.8","1.9"
"2008/02","-6.5","5.6","1.1","-0.6"
"2008/03","-6.3","7.0","2.8","-3.6"
"2008/04","-6.1","6.5","4.6","-6.7"
"2008/05","-3.0","5.4","1.5","-10.1"
"2008/06","-6.1","3.7","-0.7","-13.7"
"2008/07","-6.1","3.4","2.4","-17.4"
"2008/08","0.0","1.7","1.8","-21.0"
"2008/09","0.0","2.5","-2.2","-24.7"
"2008/10","0.0","-0.8","-3.4","-28.2"
"2008/11","3.0","-4.8","-4.5","-30.9"
"2008/12","6.3","-9.1","-5.4","-32.4"
"2009/01","10.0","-7.5","-4.3","-31.9"
"2009/02","13.8","-4.6","-0.6","-29.5"
"2009/03","20.0","-4.3","-3.0","-25.1"
"2009/04","19.4","-1.8","-3.1","-19.3"
"2009/05","21.9","-2.3","1.5","-12.2"
"2009/06","25.8","2.3","5.3","-4.2"
"2009/07","22.6","0.8","0.6","4.3"
"2009/08","15.2","1.0","0.4","13.3"
"2009/09","12.5","4.6","5.6","23.0"
"2009/10","9.1","3.7","9.0","32.7"
"2009/11","8.8","8.4","8.3","41.4"
"2009/12","5.9","14.6","10.5","47.7"
"2010/01","42.4","10.9","9.5","49.9"
"2010/02","21.2","10.8","10.5","48.1"
"2010/03","2.8","11.6","9.2","42.7"
